,Name,Genres,Popularity
0,X Ambassadors,"electropop, modern alternative rock, modern rock, pop, pop rap, pop rock, rock, stomp pop",75
1,Foster The People,"indietronica, modern rock, rock",73
2,AWOLNATION,"la indie, modern alternative rock, modern rock, rock, stomp pop",64
3,Neon Trees,"indie poptimism, modern alternative rock, modern rock, pop rock, rock",67
4,Young the Giant,"modern alternative rock, modern rock, rock, stomp and holler",68
5,Panic! At The Disco,modern rock,80
6,I DONT KNOW HOW BUT THEY FOUND ME,"alt z, indie pop, modern alternative rock, modern rock, rock",64
7,Saint Motel,"la indie, modern alternative rock, modern rock",65
8,halfâ€¢alive,"alt z, indie pop, modern alternative rock, modern rock",64
9,Fitz and The Tantrums,"indie poptimism, la indie, modern alternative rock, modern rock, pop rock, rock",67
10,grandson,"modern alternative rock, modern rock, rock",69
11,Waterparks,"modern rock, neon pop punk, pixie, pop punk, rock, social media pop, texas pop punk",65
12,MISSIO,"alt z, electropop, indie poptimism, modern alternative rock, modern rock, rock",61
13,AJR,"modern rock, pop rock",76
14,American Authors,"indie poptimism, modern rock, pop rock",67
15,Jon Bellion,pop rap,68
16,WALK THE MOON,"dance rock, indie poptimism, modern alternative rock, modern rock, pop rock, rock",70
17,GROUPLOVE,"indie pop, indie poptimism, indie rock, indietronica, la indie, modern alternative rock, modern rock, rock, stomp and holler",65
18,Palaye Royale,"modern alternative rock, modern rock, rock, vegas indie",65
19,YUNGBLUD,"british indie rock, modern rock, rock",72
